number,prime_awareness,prime_difficulty,prime_correctness,target_difficulty,target_correctness,fixation_time,prime_time,prime,mask_time,mask,target
1,неосознаваемый,простой,неверно,сложный,верно,600,60,4*6=28,250,ХХХХХХ,968 * 284 = 274912
2,неосознаваемый,простой,неверно,сложный,неверно,600,60,3*8=32,250,ХХХХХХ,945 * 454 = 423030
3,неосознаваемый,простой,неверно,сложный,верно,600,60,9*2=16,250,ХХХХХХ,783 * 515 = 403245
4,неосознаваемый,простой,неверно,сложный,неверно,600,60,8*5=45,250,ХХХХХХ,561 * 569 = 312209
5,неосознаваемый,простой,верно,сложный,неверно,600,60,9*6=54,250,ХХХХХХ,332 * 492 = 163544
6,неосознаваемый,простой,верно,сложный,неверно,600,60,5*5=25,250,ХХХХХХ,256 * 635 = 162760
7,неосознаваемый,простой,неверно,сложный,верно,600,60,5*3=16,250,ХХХХХХ,365 * 346 = 126290
8,неосознаваемый,простой,верно,сложный,верно,600,60,4*6=24,250,ХХХХХХ,975 * 959 = 935025
9,неосознаваемый,простой,неверно,сложный,верно,600,60,6*7=48,250,ХХХХХХ,741 * 147 = 108927
10,неосознаваемый,простой,неверно,сложный,неверно,600,60,9*5=40,250,ХХХХХХ,954 * 143 = 137422
11,неосознаваемый,простой,неверно,сложный,верно,600,60,8*6=42,250,ХХХХХХ,227 * 814 = 184778
12,неосознаваемый,простой,верно,сложный,неверно,600,60,7*9=63,250,ХХХХХХ,255 * 447 = 113885
13,неосознаваемый,простой,неверно,сложный,верно,600,60,5*6=35,250,ХХХХХХ,832 * 597 = 496704
14,неосознаваемый,простой,верно,сложный,неверно,600,60,3*4=12,250,ХХХХХХ,644 * 571 = 366724
15,неосознаваемый,простой,неверно,сложный,верно,600,60,2*9=21,250,ХХХХХХ,998 * 108 = 107784
16,неосознаваемый,простой,верно,сложный,верно,600,60,8*6=48,250,ХХХХХХ,907 * 178 = 161446
17,неосознаваемый,простой,верно,сложный,неверно,600,60,4*7=28,250,ХХХХХХ,652 * 856 = 558312
18,неосознаваемый,простой,неверно,сложный,неверно,600,60,9*7=64,250,ХХХХХХ,156 * 785 = 122360
19,неосознаваемый,простой,неверно,сложный,неверно,600,60,2*7=15,250,ХХХХХХ,506 * 632 = 312792
20,неосознаваемый,простой,верно,сложный,неверно,600,60,5*8=40,250,ХХХХХХ,816 * 973 = 793468
21,неосознаваемый,простой,верно,сложный,верно,600,60,7*7=49,250,ХХХХХХ,584 * 489 = 285576
22,неосознаваемый,простой,верно,сложный,верно,600,60,6*8=48,250,ХХХХХХ,623 * 605 = 376915
23,неосознаваемый,простой,неверно,сложный,неверно,600,60,4*5=25,250,ХХХХХХ,243 * 708 = 172144
24,неосознаваемый,простой,верно,сложный,неверно,600,60,6*4=24,250,ХХХХХХ,887 * 295 = 263665
25,неосознаваемый,простой,неверно,сложный,верно,600,60,7*5=25,250,ХХХХХХ,563 * 219 = 123297
26,неосознаваемый,простой,верно,сложный,верно,600,60,2*5=10,250,ХХХХХХ,337 * 834 = 281058
27,неосознаваемый,простой,неверно,сложный,неверно,600,60,7*6=49,250,ХХХХХХ,843 * 135 = 114805
28,неосознаваемый,простой,неверно,сложный,верно,600,60,8*7=54,250,ХХХХХХ,134 * 878 = 117652
29,неосознаваемый,простой,неверно,сложный,неверно,600,60,7*2=16,250,ХХХХХХ,212 * 815 = 171780
30,неосознаваемый,простой,неверно,сложный,верно,600,60,4*3=16,250,ХХХХХХ,654 * 631 = 412674
31,неосознаваемый,простой,верно,сложный,верно,600,60,7*3=21,250,ХХХХХХ,165 * 798 = 131670
32,неосознаваемый,простой,верно,сложный,верно,600,60,8*5=40,250,ХХХХХХ,914 * 928 = 848192
33,неосознаваемый,простой,верно,сложный,неверно,600,60,7*8=56,250,ХХХХХХ,925 * 347 = 320175
34,неосознаваемый,простой,верно,сложный,неверно,600,60,6*5=30,250,ХХХХХХ,285 * 421 = 119885
35,неосознаваемый,простой,неверно,сложный,неверно,600,60,9*8=63,250,ХХХХХХ,488 * 775 = 379200
36,неосознаваемый,простой,неверно,сложный,верно,600,60,3*5=25,250,ХХХХХХ,148 * 784 = 116032
37,неосознаваемый,простой,неверно,сложный,неверно,600,60,4*8=30,250,ХХХХХХ,278 * 781 = 219118
38,неосознаваемый,простой,верно,сложный,неверно,600,60,5*4=20,250,ХХХХХХ,264 * 578 = 151592
39,неосознаваемый,простой,верно,сложный,верно,600,60,9*9=81,250,ХХХХХХ,719 * 965 = 693835
40,неосознаваемый,простой,неверно,сложный,верно,600,60,6*3=16,250,ХХХХХХ,548 * 618 = 338664
41,неосознаваемый,простой,верно,сложный,неверно,600,60,2*9=18,250,ХХХХХХ,564 * 574 = 326736
42,неосознаваемый,простой,неверно,сложный,неверно,600,60,5*8=42,250,ХХХХХХ,198 * 857 = 160686
43,неосознаваемый,простой,неверно,сложный,верно,600,60,5*9=40,250,ХХХХХХ,886 * 164 = 145304
44,неосознаваемый,простой,верно,сложный,верно,600,60,6*2=12,250,ХХХХХХ,861 * 905 = 779205
45,неосознаваемый,простой,верно,сложный,неверно,600,60,9*7=63,250,ХХХХХХ,694 * 207 = 143558
46,неосознаваемый,простой,неверно,сложный,неверно,600,60,9*6=56,250,ХХХХХХ,245 * 541 = 132045
47,неосознаваемый,простой,верно,сложный,верно,600,60,7*6=42,250,ХХХХХХ,672 * 301 = 202272
48,неосознаваемый,простой,верно,сложный,верно,600,60,3*8=24,250,ХХХХХХ,731 * 621 = 453951
49,неосознаваемый,простой,неверно,сложный,верно,600,60,3*6=12,250,ХХХХХХ,746 * 918 = 684828
50,неосознаваемый,простой,неверно,сложный,неверно,600,60,7*8=64,250,ХХХХХХ,524 * 426 = 223624
51,неосознаваемый,простой,верно,сложный,неверно,600,60,9*3=27,250,ХХХХХХ,859 * 534 = 456706
52,неосознаваемый,простой,неверно,сложный,неверно,600,60,3*4=15,250,ХХХХХХ,766 * 904 = 691464
53,неосознаваемый,простой,неверно,сложный,верно,600,60,6*2=18,250,ХХХХХХ,521 * 372 = 193812
54,неосознаваемый,простой,верно,сложный,неверно,600,60,5*9=45,250,ХХХХХХ,871 * 329 = 285559
55,неосознаваемый,простой,верно,сложный,верно,600,60,6*3=18,250,ХХХХХХ,842 * 675 = 568350
56,неосознаваемый,простой,верно,сложный,верно,600,60,9*2=18,250,ХХХХХХ,452 * 239 = 108028
57,неосознаваемый,простой,верно,сложный,неверно,600,60,7*4=28,250,ХХХХХХ,721 * 982 = 707022
58,неосознаваемый,простой,верно,сложный,верно,600,60,5*3=15,250,ХХХХХХ,946 * 517 = 489082
59,неосознаваемый,простой,неверно,сложный,неверно,600,60,6*8=56,250,ХХХХХХ,316 * 892 = 282872
60,неосознаваемый,простой,верно,сложный,верно,600,60,2*8=16,250,ХХХХХХ,662 * 169 = 111878
