number,prime_awareness,prime_difficulty,prime_correctness,target_difficulty,target_correctness,fixation_time,prime_time,prime,mask_time,mask,target
1,осознаваемый,простой,неверно,сложный,верно,600,300,4*6=28,250,,968 * 284 = 274912
2,осознаваемый,простой,неверно,сложный,неверно,600,300,3*8=32,250,,945 * 454 = 423030
3,осознаваемый,простой,неверно,сложный,верно,600,300,9*2=16,250,,783 * 515 = 403245
4,осознаваемый,простой,неверно,сложный,неверно,600,300,8*5=45,250,,561 * 569 = 312209
5,осознаваемый,простой,верно,сложный,неверно,600,300,9*6=54,250,,332 * 492 = 163544
6,осознаваемый,простой,верно,сложный,неверно,600,300,5*5=25,250,,256 * 635 = 162760
7,осознаваемый,простой,неверно,сложный,верно,600,300,5*3=16,250,,365 * 346 = 126290
8,осознаваемый,простой,верно,сложный,верно,600,300,4*6=24,250,,975 * 959 = 935025
9,осознаваемый,простой,неверно,сложный,верно,600,300,6*7=48,250,,741 * 147 = 108927
10,осознаваемый,простой,неверно,сложный,неверно,600,300,9*5=40,250,,954 * 143 = 137422
11,осознаваемый,простой,неверно,сложный,верно,600,300,8*6=42,250,,227 * 814 = 184778
12,осознаваемый,простой,верно,сложный,неверно,600,300,7*9=63,250,,255 * 447 = 113885
13,осознаваемый,простой,неверно,сложный,верно,600,300,5*6=35,250,,832 * 597 = 496704
14,осознаваемый,простой,верно,сложный,неверно,600,300,3*4=12,250,,644 * 571 = 366724
15,осознаваемый,простой,неверно,сложный,верно,600,300,2*9=21,250,,998 * 108 = 107784
16,осознаваемый,простой,верно,сложный,верно,600,300,8*6=48,250,,907 * 178 = 161446
17,осознаваемый,простой,верно,сложный,неверно,600,300,4*7=28,250,,652 * 856 = 558312
18,осознаваемый,простой,неверно,сложный,неверно,600,300,9*7=64,250,,156 * 785 = 122360
19,осознаваемый,простой,неверно,сложный,неверно,600,300,2*7=15,250,,506 * 632 = 312792
20,осознаваемый,простой,верно,сложный,неверно,600,300,5*8=40,250,,816 * 973 = 793468
21,осознаваемый,простой,верно,сложный,верно,600,300,7*7=49,250,,584 * 489 = 285576
22,осознаваемый,простой,верно,сложный,верно,600,300,6*8=48,250,,623 * 605 = 376915
23,осознаваемый,простой,неверно,сложный,неверно,600,300,4*5=25,250,,243 * 708 = 172144
24,осознаваемый,простой,верно,сложный,неверно,600,300,6*4=24,250,,887 * 295 = 263665
25,осознаваемый,простой,неверно,сложный,верно,600,300,7*5=25,250,,563 * 219 = 123297
